timestamp,value
2020-01-02,18.8817
2020-01-03,18.8673
2020-01-06,18.827
2020-01-07,18.8852
2020-01-08,18.798
2020-01-09,18.8453
2020-01-10,18.7732
2020-01-13,18.8215
2020-01-14,18.812
2020-01-15,18.8077
2020-01-16,18.793
2020-01-17,18.7388
2020-01-20,18.6725
2020-01-21,18.7007
2020-01-22,18.6883
2020-01-23,18.8018
2020-01-24,18.8313
2020-01-27,18.9407
2020-01-28,18.8022
2020-01-29,18.7067
2020-01-30,18.7853
2020-01-31,18.9082
2020-02-04,18.6797
2020-02-05,18.6245
2020-02-06,18.6645
2020-02-07,18.7763
2020-02-10,18.7653
2020-02-11,18.674
2020-02-12,18.6308
2020-02-13,18.6458
2020-02-14,18.5712
2020-02-17,18.5715
2020-02-18,18.5952
2020-02-19,18.591
2020-02-20,18.7992
2020-02-21,18.9138
2020-02-24,19.1197
2020-02-25,19.0878
2020-02-26,19.1585
2020-02-27,19.3973
2020-02-28,19.776
2020-03-02,19.6985
2020-03-03,19.2837
2020-03-04,19.5335
2020-03-05,19.8095
2020-03-06,20.1623
2020-03-09,21.1117
2020-03-10,21.0267
2020-03-11,21.213
2020-03-12,22.1518
2020-03-13,21.9288
2020-03-17,23.0573
2020-03-18,23.9008
2020-03-19,24.0868
2020-03-20,24.1113
2020-03-23,25.0782
2020-03-24,25.1185
2020-03-25,24.2948
2020-03-26,23.097
2020-03-27,23.5122
2020-03-30,24.2853
2020-03-31,23.4847
2020-04-01,24.4918
2020-04-02,24.1087
2020-04-03,24.6938
2020-04-06,24.6895
2020-04-07,24.0388
2020-04-08,24.0925
2020-04-13,23.7427
2020-04-14,23.5645
2020-04-15,24.1155
2020-04-16,24.2098
2020-04-17,23.9012
2020-04-20,24.0077
2020-04-21,24.4248
2020-04-22,24.5883
2020-04-23,24.623
2020-04-24,24.8583
2020-04-27,24.8492
2020-04-28,24.3882
2020-04-29,24.0002
2020-04-30,23.9283
2020-05-04,24.3812
2020-05-05,23.8343
2020-05-06,24.2942
2020-05-07,24.0563
2020-05-08,23.6805
2020-05-11,23.8693
2020-05-12,24.0487
2020-05-13,24.2113
2020-05-14,24.2708
2020-05-15,23.958
2020-05-18,23.6032
2020-05-19,23.6023
2020-05-20,23.2962
2020-05-21,22.96
2020-05-22,22.7928
2020-05-25,22.563
2020-05-26,22.2932
2020-05-27,22.3633
2020-05-28,22.204
2020-05-29,22.1778
2020-06-01,22.0168
2020-06-02,21.6827
2020-06-03,21.6043
2020-06-04,21.8388
2020-06-05,21.5837
2020-06-08,21.6552
2020-06-09,21.7252
2020-06-10,21.923
2020-06-11,22.4252
2020-06-12,22.3347
2020-06-15,22.5435
2020-06-16,22.2168
2020-06-17,22.2783
2020-06-18,22.6088
2020-06-19,22.63
2020-06-22,22.4413
2020-06-23,22.413
2020-06-24,22.6662
2020-06-25,22.7963
2020-06-26,22.9715
2020-06-29,23.1325
2020-06-30,23.0893
2020-07-01,22.8078
2020-07-02,22.5225
2020-07-03,22.4147
2020-07-06,22.2808
2020-07-07,22.6213
2020-07-08,22.8225
2020-07-09,22.6945
2020-07-10,22.5342
2020-07-13,22.4633
2020-07-14,22.6173
2020-07-15,22.3647
2020-07-16,22.3032
2020-07-17,22.4897
2020-07-20,22.6278
2020-07-21,22.3597
2020-07-22,22.251
2020-07-23,22.3627
2020-07-24,22.3842
2020-07-27,22.0275
2020-07-28,21.9615
2020-07-29,21.9907
2020-07-30,22.1727
2020-07-31,22.2012
2020-08-03,22.614
2020-08-04,22.7845
2020-08-05,22.4068
2020-08-06,22.3652
2020-08-07,22.4892
2020-08-10,22.485
2020-08-11,22.349
2020-08-12,22.3457
2020-08-13,22.2628
2020-08-14,22.0313
2020-08-17,22.057
2020-08-18,22.1535
2020-08-19,22.0527
2020-08-20,22.176
2020-08-21,22.0362
2020-08-24,21.984
2020-08-25,21.9723
2020-08-26,21.9202
2020-08-27,22.1168
2020-08-28,21.8602
2020-08-31,21.888
2020-09-01,21.7445
2020-09-02,21.8393
2020-09-03,21.6383
2020-09-04,21.6115
2020-09-07,21.5887
2020-09-08,21.7138
2020-09-09,21.5377
2020-09-10,21.2773
2020-09-11,21.321
2020-09-14,21.0728
2020-09-15,21.0692
2020-09-17,20.985
2020-09-18,20.9697
2020-09-21,21.505
2020-09-22,21.5682
2020-09-23,22.0897
2020-09-24,22.3678
2020-09-25,22.4402
2020-09-28,22.4573
2020-09-29,22.3598
2020-09-30,22.1438
2020-10-01,21.9562
2020-10-02,21.7025
2020-10-05,21.396
2020-10-06,21.4507
2020-10-07,21.493
